Product_ID,Category,Brand,Season,Product_Name,Original_Price,Competitor_Price,Seasonality_Factor,Markdown_1,Markdown_2,Markdown_3,Markdown_4,Historical_Sales,Sales_After_M1,Sales_After_M2,Sales_After_M3,Sales_After_M4,Stock_Level,Promotion_Type,Customer Ratings,Return Rate,Optimal Discount
1,Skincare,BrandA,Summer,Sunscreen,70.39,70.98,1.71,0.31,0.49,0.18,0.48,344,404,540,650,979,183,In-Store,4.9,1.97,0.36
2,Skincare,BrandB,Rainy,Eye Cream,55.35,56.58,0.85,0.39,0.21,0.1,0.46,98,107,116,118,143,142,Online,4,2.57,0.29
3,Skincare,BrandA,Spring,Face Mist,26.16,28.54,1.03,0.17,0.43,0.3,0.43,72,72,87,84,84,112,Social Media,2.3,4.64,0.33
4,Bodycare,BrandD,Winter,Shower Gel,99.34,98.57,1.91,0.2,0.21,0.13,0.47,243,281,316,361,539,57,In-Store,4.9,1.42,0.25
5,Skincare,BrandA,Winter,Peeling Gel,60.33,61.05,1.65,0.14,0.2,0.21,0.36,251,289,325,402,534,125,In-Store,4.6,1.36,0.23
6,Makeup,BrandE,Spring,Eyebrow Pencil,52.7,55.54,1.55,0.19,0.43,0.25,0.34,285,312,442,503,621,55,Social Media,5,1.69,0.3
7,Bodycare,BrandF,Winter,Stretch Mark Cream,6.45,7.88,1.51,0.36,0.34,0.11,0.42,258,334,419,467,695,114,Social Media,4.9,1.52,0.31
8,Bodycare,BrandB,Rainy,Body Mist,97.89,99.29,0.99,0.13,0.33,0.29,0.34,154,177,209,279,331,71,Online,4.7,1.88,0.27
9,Bodycare,BrandC,Spring,Shaving Gel,76.13,77.88,0.86,0.16,0.26,0.19,0.48,77,80,86,90,95,122,In-Store,2.5,4.68,0.27
10,Skincare,BrandF,Summer,Sunscreen,54.45,54.13,1.54,0.26,0.31,0.15,0.33,286,363,440,500,613,163,Online,4.9,1.09,0.26
11,Makeup,BrandE,Rainy,Liquid Eyeliner,63.84,64.66,1.1,0.27,0.23,0.18,0.45,217,241,263,267,286,113,In-Store,4.8,1.48,0.28
12,Bodycare,BrandB,Winter,Stretch Mark Cream,41.25,42.89,1.58,0.25,0.43,0.24,0.4,239,299,372,441,635,170,Social Media,4.9,1.62,0.33
13,Makeup,BrandB,Summer,Contour Kit,92.08,92.58,0.91,0.37,0.23,0.24,0.45,182,259,293,375,573,91,Online,4.9,1.93,0.32
14,Skincare,BrandE,Rainy,Hydrating Serum,85.4,88.29,0.7,0.16,0.22,0.26,0.31,53,56,54,61,64,112,Online,2.3,4.19,0.24
15,Makeup,BrandC,Summer,Setting Powder,79.04,79.97,1.1,0.29,0.37,0.25,0.46,64,82,117,142,193,52,Online,4.9,1.81,0.34
16,Bodycare,BrandA,Winter,Shaving Gel,74.41,75.22,1.59,0.25,0.42,0.11,0.35,192,235,312,337,449,85,Online,4.9,1.61,0.28
17,Bodycare,BrandC,Summer,Body Wash,6.38,7.77,1.98,0.12,0.23,0.24,0.33,408,458,570,685,804,83,In-Store,4.9,1.62,0.23
18,Skincare,BrandC,Spring,Face Oil,38.85,40.52,1.07,0.32,0.48,0.28,0.33,200,207,201,210,234,82,Online,4.9,1.89,0.35
19,Bodycare,BrandE,Summer,Body Scrub,41.57,42.21,1.61,0.11,0.36,0.18,0.32,114,121,167,194,242,197,In-Store,4.8,1.64,0.24
20,Skincare,BrandF,Rainy,Face Mist,19.72,20.49,0.63,0.24,0.37,0.12,0.43,66,73,71,73,86,116,Social Media,2.5,5.9,0.29
21,Makeup,BrandE,Winter,Concealer,73.34,72.83,1.79,0.34,0.37,0.24,0.34,97,135,166,186,220,187,Online,4.8,1.62,0.32
22,Skincare,BrandF,Summer,Peeling Gel,84.24,84.2,1.91,0.19,0.22,0.24,0.47,359,394,474,537,747,106,Online,4.6,1.51,0.28
23,Makeup,BrandA,Summer,Highlighter,35.17,36.09,0.53,0.37,0.27,0.18,0.41,96,127,162,187,245,83,In-Store,4.8,1.87,0.31
24,Makeup,BrandB,Summer,Makeup Primer,62.19,63.96,0.53,0.31,0.49,0.22,0.33,75,102,156,193,264,128,In-Store,5,1.63,0.34
25,Bodycare,BrandA,Spring,Foot Scrub,12.65,14.14,0.94,0.38,0.34,0.15,0.5,188,180,195,194,232,55,Social Media,4.6,1.22,0.34
26,Bodycare,BrandA,Winter,Body Mist,70.59,69.87,1.55,0.32,0.38,0.23,0.49,276,344,450,547,702,68,Social Media,4.9,1.61,0.36
27,Skincare,BrandD,Winter,Face Mist,54.27,56.23,1.62,0.15,0.26,0.25,0.36,212,232,303,348,424,73,Social Media,4.9,1.04,0.26
28,Bodycare,BrandC,Spring,Body Oil,6.1,6.42,1.26,0.23,0.41,0.29,0.48,178,197,194,200,246,160,Online,4.7,1.19,0.35
29,Skincare,BrandB,Summer,Facial Cleanser,71.18,71.68,1.93,0.26,0.32,0.2,0.45,106,127,150,177,262,88,Online,5,1.98,0.31
30,Bodycare,BrandE,Summer,Shaving Gel,60.89,63.45,1.88,0.13,0.21,0.3,0.5,122,140,168,201,296,102,Online,4.8,1.69,0.28
31,Makeup,BrandA,Rainy,Eyeshadow Palette,66.63,68.58,0.6,0.27,0.3,0.17,0.5,115,112,127,123,134,119,Social Media,3.2,3.35,0.31
32,Makeup,BrandD,Spring,Liquid Eyeliner,77.86,80.64,1.66,0.31,0.29,0.26,0.38,196,243,292,358,448,120,Social Media,4.6,1.13,0.31
33,Bodycare,BrandA,Summer,Stretch Mark Cream,31.05,30.49,1.79,0.18,0.2,0.12,0.47,174,196,234,267,378,159,In-Store,4.8,1.68,0.24
34,Skincare,BrandC,Rainy,Face Serum,64.67,64.81,0.81,0.29,0.49,0.14,0.42,160,173,177,177,198,199,Social Media,4.9,1.21,0.34
35,Skincare,BrandB,Rainy,Makeup Remover,9.27,8.55,0.87,0.23,0.33,0.23,0.35,83,91,86,88,91,103,In-Store,2.3,5.86,0.29
